days elong signed k diam dist
244.2732 13.03302 -13.03302 0.974104 9.9659 1.674541
245.2464 12.77056 -12.77056 0.975134 9.9514 1.676995
246.2196 12.50787 -12.50787 0.976145 9.9371 1.679396
247.1928 12.24497 -12.24497 0.977136 9.9233 1.681745
248.1660 11.98187 -11.98187 0.978107 9.9097 1.684041
249.1392 11.71857 -11.71857 0.979058 9.8965 1.686285
250.1124 11.45510 -11.45510 0.979988 9.8837 1.688475
251.0856 11.19147 -11.19147 0.980898 9.8712 1.690613
252.0588 10.92769 -10.92769 0.981787 9.8590 1.692697
253.0320 10.66378 -10.66378 0.982656 9.8472 1.694728
254.0052 10.39974 -10.39974 0.983504 9.8358 1.696706
254.9784 10.13560 -10.13560 0.984331 9.8246 1.698630
255.9516 9.87138 -9.87138 0.985138 9.8138 1.700500
256.9248 9.60708 -9.60708 0.985923 9.8033 1.702316
257.8980 9.34274 -9.34274 0.986687 9.7932 1.704078
258.8712 9.07836 -9.07836 0.987430 9.7834 1.705786
259.8444 8.81398 -8.81398 0.988152 9.7739 1.707439
260.8176 8.54961 -8.54961 0.988852 9.7648 1.709039
261.7908 8.28527 -8.28527 0.989532 9.7560 1.710583
262.7640 8.02101 -8.02101 0.990189 9.7475 1.712074
263.7372 7.75683 -7.75683 0.990825 9.7393 1.713509
264.7104 7.49278 -7.49278 0.991440 9.7315 1.714891
265.6836 7.22889 -7.22889 0.992033 9.7239 1.716217
266.6568 6.96520 -6.96520 0.992604 9.7167 1.717489
267.6300 6.70176 -6.70176 0.993154 9.7099 1.718706
268.6032 6.43861 -6.43861 0.993682 9.7033 1.719868
269.5764 6.17581 -6.17581 0.994188 9.6971 1.720975
270.5496 5.91342 -5.91342 0.994672 9.6911 1.722027
271.5228 5.65152 -5.65152 0.995134 9.6855 1.723025
272.4960 5.39020 -5.39020 0.995574 9.6802 1.723967
273.4692 5.12956 -5.12956 0.995992 9.6752 1.724855
274.4424 4.86972 -4.86972 0.996389 9.6706 1.725688
275.4156 4.61084 -4.61084 0.996763 9.6662 1.726466
276.3888 4.35309 -4.35309 0.997115 9.6622 1.727189
277.3620 4.09669 -4.09669 0.997446 9.6584 1.727857
278.3352 3.84194 -3.84194 0.997754 9.6550 1.728471
279.3084 3.58918 -3.58918 0.998040 9.6519 1.729030
280.2816 3.33886 -3.33886 0.998304 9.6491 1.729535
281.2548 3.09159 -3.09159 0.998547 9.6465 1.729985
282.2280 2.84815 -2.84815 0.998767 9.6443 1.730380
283.2012 2.60961 -2.60961 0.998965 9.6424 1.730721
284.1744 2.37744 -2.37744 0.999141 9.6408 1.731008
285.1476 2.15366 -2.15366 0.999296 9.6396 1.731241
286.1208 1.94118 -1.94118 0.999428 9.6386 1.731419
287.0940 1.74409 -1.74409 0.999538 9.6379 1.731544
288.0672 1.56817 -1.56817 0.999627 9.6375 1.731615
289.0404 1.42124 -1.42124 0.999694 9.6374 1.731632
290.0136 1.31301 -1.31301 0.999739 9.6376 1.731595
290.9868 1.25347 -1.25347 0.999762 9.6381 1.731505
291.9600 1.24953 1.24953 0.999763 9.6389 1.731362
292.9332 1.30160 1.30160 0.999743 9.6400 1.731165
293.9064 1.40339 1.40339 0.999702 9.6414 1.730916
294.8796 1.54501 1.54501 0.999639 9.6430 1.730613
295.8528 1.71656 1.71656 0.999554 9.6450 1.730258
296.8260 1.90992 1.90992 0.999448 9.6473 1.729851
297.7992 2.11906 2.11906 0.999321 9.6499 1.729391
298.7724 2.33967 2.33967 0.999173 9.6527 1.728879
299.7456 2.56875 2.56875 0.999003 9.6559 1.728315
300.7188 2.80415 2.80415 0.998813 9.6593 1.727700
301.6920 3.04435 3.04435 0.998601 9.6630 1.727033
302.6652 3.28824 3.28824 0.998369 9.6671 1.726314
303.6384 3.53500 3.53500 0.998116 9.6714 1.725545
304.6116 3.78402 3.78402 0.997842 9.6760 1.724725
305.5848 4.03483 4.03483 0.997548 9.6809 1.723854
306.5580 4.28705 4.28705 0.997233 9.6860 1.722933
307.5312 4.54041 4.54041 0.996898 9.6915 1.721961
308.5044 4.79468 4.79468 0.996543 9.6972 1.720940
309.4776 5.04968 5.04968 0.996167 9.7033 1.719869
310.4508 5.30524 5.30524 0.995772 9.7096 1.718748
311.4240 5.56126 5.56126 0.995356 9.7162 1.717579
312.3972 5.81762 5.81762 0.994921 9.7231 1.716360
313.3704 6.07424 6.07424 0.994466 9.7303 1.715093
314.3436 6.33104 6.33104 0.993992 9.7378 1.713777
315.3168 6.58797 6.58797 0.993498 9.7455 1.712413
316.2900 6.84496 6.84496 0.992985 9.7536 1.711002
317.2632 7.10198 7.10198 0.992452 9.7619 1.709542
318.2364 7.35897 7.35897 0.991901 9.7705 1.708036
319.2096 7.61591 7.61591 0.991331 9.7794 1.706482
320.1828 7.87276 7.87276 0.990742 9.7886 1.704882
321.1560 8.12949 8.12949 0.990134 9.7981 1.703235
322.1292 8.38607 8.38607 0.989508 9.8078 1.701541
323.1024 8.64249 8.64249 0.988863 9.8178 1.699802
324.0756 8.89871 8.89871 0.988200 9.8282 1.698017
325.0488 9.15473 9.15473 0.987519 9.8388 1.696187
326.0220 9.41053 9.41053 0.986820 9.8497 1.694312
326.9952 9.66608 9.66608 0.986103 9.8608 1.692392
327.9684 9.92138 9.92138 0.985368 9.8723 1.690427
328.9416 10.17640 10.17640 0.984616 9.8840 1.688418
329.9148 10.43115 10.43115 0.983846 9.8961 1.686366
330.8880 10.68560 10.68560 0.983059 9.9084 1.684269
331.8612 10.93974 10.93974 0.982254 9.9210 1.682129
332.8344 11.19357 11.19357 0.981433 9.9339 1.679946
333.8076 11.44708 11.44708 0.980595 9.9471 1.677721
334.7808 11.70025 11.70025 0.979739 9.9605 1.675453
335.7540 11.95307 11.95307 0.978868 9.9743 1.673142
336.7272 12.20555 12.20555 0.977979 9.9883 1.670790
337.7004 12.45767 12.45767 0.977074 10.0026 1.668396
338.6736 12.70943 12.70943 0.976153 10.0173 1.665961
339.6468 12.96081 12.96081 0.975215 10.0322 1.663485
340.6200 13.21181 13.21181 0.974262 10.0474 1.660968
341.5932 13.46243 13.46243 0.973292 10.0629 1.658410
342.5664 13.71266 13.71266 0.972307 10.0787 1.655813
343.5396 13.96249 13.96249 0.971306 10.0947 1.653175
344.5128 14.21193 14.21193 0.970289 10.1111 1.650498
345.4860 14.46095 14.46095 0.969257 10.1278 1.647781
346.4592 14.70957 14.70957 0.968210 10.1448 1.645025
347.4324 14.95776 14.95776 0.967147 10.1620 1.642231
348.4056 15.20554 15.20554 0.966069 10.1796 1.639397
349.3788 15.45290 15.45290 0.964975 10.1974 1.636526
350.3520 15.69982 15.69982 0.963867 10.2156 1.633617
351.3252 15.94631 15.94631 0.962744 10.2341 1.630669
352.2984 16.19237 16.19237 0.961606 10.2528 1.627685
353.2716 16.43799 16.43799 0.960454 10.2719 1.624663
354.2448 16.68316 16.68316 0.959287 10.2913 1.621604
355.2180 16.92788 16.92788 0.958105 10.3110 1.618508
356.1912 17.17216 17.17216 0.956909 10.3310 1.615376
357.1644 17.41598 17.41598 0.955698 10.3513 1.612208
358.1376 17.65935 17.65935 0.954473 10.3719 1.609004
359.1108 17.90225 17.90225 0.953234 10.3928 1.605764
360.0840 18.14469 18.14469 0.951981 10.4140 1.602488
361.0572 18.38667 18.38667 0.950713 10.4356 1.599177
362.0304 18.62818 18.62818 0.949432 10.4575 1.595832
363.0036 18.86922 18.86922 0.948137 10.4797 1.592451
