days elong signed k diam dist
67.4035 0.88725 -0.88725 0.999379 5.0814 1.323992
67.5967 0.65569 -0.65569 0.999660 5.0823 1.323742
67.7898 0.42872 -0.42872 0.999854 5.0835 1.323439
67.9829 0.22213 -0.22213 0.999961 5.0849 1.323086
68.1761 0.16435 0.16435 0.999978 5.0864 1.322680
68.3692 0.34238 0.34238 0.999906 5.0882 1.322221
68.5623 0.56598 0.56598 0.999743 5.0901 1.321711
68.7555 0.79789 0.79789 0.999487 5.0923 1.321147
68.9486 1.03264 1.03264 0.999138 5.0947 1.320531
69.1417 1.26872 1.26872 0.998695 5.0973 1.319861
69.3349 1.50554 1.50554 0.998158 5.1001 1.319138
69.5280 1.74282 1.74282 0.997525 5.1031 1.318362
69.7211 1.98038 1.98038 0.996796 5.1063 1.317532
69.9143 2.21811 2.21811 0.995970 5.1097 1.316649
70.1074 2.45595 2.45595 0.995047 5.1133 1.315712
70.3005 2.69381 2.69381 0.994027 5.1172 1.314721
70.4937 2.93165 2.93165 0.992909 5.1213 1.313677
70.6868 3.16941 3.16941 0.991694 5.1256 1.312579
70.8799 3.40706 3.40706 0.990381 5.1301 1.311427
71.0731 3.64454 3.64454 0.988969 5.1348 1.310222
71.2662 3.88183 3.88183 0.987461 5.1397 1.308964
71.4593 4.11887 4.11887 0.985854 5.1449 1.307652
71.6525 4.35563 4.35563 0.984151 5.1502 1.306287
71.8456 4.59208 4.59208 0.982350 5.1558 1.304869
72.0387 4.82817 4.82817 0.980454 5.1617 1.303398
72.2319 5.06387 5.06387 0.978461 5.1677 1.301875
72.4250 5.29914 5.29914 0.976374 5.1740 1.300300
72.6181 5.53395 5.53395 0.974193 5.1804 1.298672
72.8113 5.76826 5.76826 0.971918 5.1871 1.296993
73.0044 6.00204 6.00204 0.969551 5.1941 1.295263
73.1975 6.23525 6.23525 0.967093 5.2012 1.293482
73.3907 6.46785 6.46785 0.964544 5.2086 1.291650
73.5838 6.69982 6.69982 0.961906 5.2162 1.289768
73.7769 6.93111 6.93111 0.959181 5.2240 1.287836
73.9701 7.16170 7.16170 0.956370 5.2321 1.285855
74.1632 7.39155 7.39155 0.953474 5.2403 1.283825
74.3563 7.62062 7.62062 0.950494 5.2488 1.281747
74.5495 7.84890 7.84890 0.947433 5.2576 1.279622
74.7426 8.07633 8.07633 0.944291 5.2665 1.277449
74.9357 8.30290 8.30290 0.941071 5.2757 1.275229
75.1289 8.52858 8.52858 0.937775 5.2851 1.272963
75.3220 8.75332 8.75332 0.934404 5.2947 1.270652
75.5151 8.97710 8.97710 0.930959 5.3045 1.268296
75.7083 9.19990 9.19990 0.927444 5.3146 1.265895
75.9014 9.42168 9.42168 0.923859 5.3249 1.263451
76.0945 9.64242 9.64242 0.920207 5.3354 1.260965
76.2877 9.86208 9.86208 0.916490 5.3461 1.258435
76.4808 10.08064 10.08064 0.912710 5.3570 1.255864
76.6739 10.29807 10.29807 0.908868 5.3682 1.253253
76.8671 10.51436 10.51436 0.904967 5.3796 1.250601
77.0602 10.72946 10.72946 0.901010 5.3912 1.247909
77.2533 10.94336 10.94336 0.896997 5.4030 1.245179
77.4465 11.15603 11.15603 0.892932 5.4150 1.242411
77.6396 11.36746 11.36746 0.888815 5.4273 1.239606
77.8327 11.57761 11.57761 0.884650 5.4398 1.236764
78.0259 11.78646 11.78646 0.880439 5.4524 1.233886
78.2190 11.99400 11.99400 0.876183 5.4653 1.230973
78.4121 12.20020 12.20020 0.871884 5.4785 1.228026
78.6053 12.40503 12.40503 0.867545 5.4918 1.225045
78.7984 12.60849 12.60849 0.863168 5.5053 1.222032
78.9915 12.81055 12.81055 0.858754 5.5191 1.218986
79.1847 13.01120 13.01120 0.854306 5.5331 1.215910
79.3778 13.21041 13.21041 0.849825 5.5472 1.212803
79.5709 13.40817 13.40817 0.845314 5.5616 1.209666
79.7641 13.60446 13.60446 0.840775 5.5762 1.206501
79.9572 13.79926 13.79926 0.836208 5.5910 1.203307
80.1503 13.99256 13.99256 0.831617 5.6060 1.200086
80.3435 14.18435 14.18435 0.827003 5.6212 1.196838
80.5366 14.37461 14.37461 0.822368 5.6366 1.193564
80.7297 14.56332 14.56332 0.817713 5.6523 1.190266
80.9229 14.75048 14.75048 0.813040 5.6681 1.186943
81.1160 14.93606 14.93606 0.808351 5.6841 1.183596
81.3091 15.12006 15.12006 0.803647 5.7003 1.180227
81.5023 15.30247 15.30247 0.798931 5.7168 1.176835
81.6954 15.48327 15.48327 0.794202 5.7334 1.173422
81.8885 15.66245 15.66245 0.789464 5.7502 1.169988
82.0817 15.84001 15.84001 0.784718 5.7672 1.166534
82.2748 16.01593 16.01593 0.779964 5.7845 1.163061
82.4679 16.19020 16.19020 0.775204 5.8019 1.159570
82.6611 16.36281 16.36281 0.770440 5.8195 1.156060
82.8542 16.53376 16.53376 0.765672 5.8373 1.152534
83.0473 16.70303 16.70303 0.760902 5.8553 1.148990
83.2405 16.87062 16.87062 0.756132 5.8735 1.145431
83.4336 17.03652 17.03652 0.751362 5.8919 1.141857
83.6267 17.20073 17.20073 0.746593 5.9105 1.138268
83.8199 17.36323 17.36323 0.741826 5.9292 1.134665
84.0130 17.52402 17.52402 0.737063 5.9482 1.131049
84.2061 17.68310 17.68310 0.732304 5.9673 1.127420
84.3993 17.84045 17.84045 0.727550 5.9867 1.123779
84.5924 17.99607 17.99607 0.722802 6.0062 1.120126
84.7855 18.14996 18.14996 0.718062 6.0259 1.116463
84.9787 18.30211 18.30211 0.713328 6.0458 1.112789
